n,a,m,t,u
地方制度法,第 87-1 條,2025-12-03,縣（市）改制或與其他直轄市、縣（市）合併改制為直轄市，應以當屆直轄市長任期屆滿之日為改制日。縣（市）議員、縣（市）長、鄉（鎮、市）民代表、鄉（鎮、市）長及村（里）長之任期均調整至改制日止，不辦理改選。 改制後第一屆直轄市議員、直轄市長及里,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 87-3 條,2025-12-03,之機關、原請辦考試機關或移撥機關之主管機關及其所屬機關有關職務為限。 各項公務人員考試法規定有限制轉調年限者，俟轉調年限屆滿後，得再轉調其他機關。 依專門職業及技術人員轉任公務人員條例轉任，於限制轉調期間內移撥之人員，得不受該條例限制轉調機關規定之限制。但須於原轉任機關、移撥機關及所,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 88 條,2025-12-03,本法自公布日施行。 本法中華民國九十六年六月十四日修正之條文，自九十六年一月一日施行；九十八年五月十二日修正之條文，自九十八年十一月二十三日施行；一百零三年一月十四日修正之第四章之一及第八十七條，其施行日期，由行政院定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
民法,第 102 條,2026-08-17,附始期之法律行為，於期限屆至時，發生效力。 附終期之法律行為，於期限屆滿時，失其效力。 第一百條之規定，於前二項情形準用之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 229 條,2026-08-17,給付有確定期限者，債務人自期限屆滿時起，負遲延責任。 給付無確定期限者，債務人於債權人得請求給付時，經其催告而未為給付，自受催告時起，負遲延責任。其經債權人起訴而送達訴狀，或依督促程序送達支付命,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 439 條,2026-08-17,承租人應依約定日期，支付租金；無約定者，依習慣；無約定亦無習慣者，應於租賃期滿時支付之。如租金分期支付者，於每期屆滿時支付之。如租賃物之收益有季節者，於收益季節終了時支付之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 450 條,2026-08-17,租賃定有期限者，其租賃關係，於期限屆滿時消滅。 未定期限者，各當事人得隨時終止契約。但有利於承租人之習慣者，從其習慣。 前項終止契約，應依習慣先期通知。但不動產之租金，以星期、半個月或一個月定其支付,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 451 條,2026-08-17,租賃期限屆滿後，承租人仍為租賃物之使用收益，而出租人不即表示反對之意思者，視為以不定期限繼續契約。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 453 條,2026-08-17,定有期限之租賃契約，如約定當事人之一方於期限屆滿前，得終止契約者，其終止契約，應依第四百五十條第三項之規定，先期通知。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 458 條,2026-08-17,耕作地租賃於租期屆滿前，有左列情形之一時，出租人得終止契約： 一、承租人死亡而無繼承人或繼承人無耕作能力者。 二、承租人非因不可抗力不為耕作繼續一年以上者。 三、承租人將耕作地全部,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 470 條,2026-08-17,借用人應於契約所定期限屆滿時，返還借用物；未定期限者，應於依借貸之目的使用完畢時返還之。但經過相當時期，可推定借用人已使用完畢者，貸與人亦得為返還之請求。 借貸未定期限，亦不能依借貸之目,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 486 條,2026-08-17,報酬應依約定之期限給付之；無約定者，依習慣；無約定亦無習慣者，依左列之規定： 一、報酬分期計算者，應於每期屆滿時給付之。 二、報酬非分期計算者，應於勞務完畢時給付之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 488 條,2026-08-17,僱傭定有期限者，其僱傭關係，於期限屆滿時消滅。 僱傭未定期限，亦不能依勞務之性質或目的定其期限者，各當事人得隨時終止契約。但有利於受僱人之習慣者，從其習慣。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 489 條,2026-08-17,當事人之一方，遇有重大事由，其僱傭契約，縱定有期限，仍得於期限屆滿前終止之。 前項事由，如因當事人一方之過失而生者，他方得向其請求損害賠償。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 598 條,2026-08-17,未定返還期限者，受寄人得隨時返還寄託物。 定有返還期限者，受寄人非有不得已之事由，不得於期限屆滿前返還寄託物。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 601 條,2026-08-17,寄託約定報酬者，應於寄託關係終止時給付之；分期定報酬者，應於每期屆滿時給付之。 寄託物之保管，因非可歸責於受寄人之事由而終止者，除契約另有訂定外，受寄人得就其已為保管之部分，請求報酬。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 602 條,2026-08-17,自受寄人受領該物時起，準用關於消費借貸之規定。 消費寄託，如寄託物之返還，定有期限者，寄託人非有不得已之事由，不得於期限屆滿前請求返還。 前項規定，如商業上另有習慣者，不適用之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 619 條,2026-08-17,倉庫營業人於約定保管期間屆滿前，不得請求移去寄託物。 未約定保管期間者，自為保管時起經過六個月，倉庫營業人得隨時請求移去寄託物。但應於一個月前通知。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 692 條,2026-08-17,合夥因左列事項之一而解散： 一、合夥存續期限屆滿者。 二、合夥人全體同意解散者。 三、合夥之目的事業已完成或不能完成者。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 693 條,2026-08-17,合夥所定期限屆滿後，合夥人仍繼續其事務者，視為以不定期限繼續合夥契約。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 708 條,2026-08-17,除依第六百八十六條之規定得聲明退夥外，隱名合夥契約，因下列事項之一而終止： 一、存續期限屆滿者。 二、當事人同意者。 三、目的事業已完成或不能完成者。 四、出名營業人死亡或受監護之宣告者。 五、出名營業人或隱名合夥人受破產之宣告者。 六、營業之廢止或轉,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 727 條,2026-08-17,利息、年金、及分配利益之無記名證券，有遺失、被盜、或滅失而通知於發行人者，如於法定關於定期給付之時效期間屆滿前，未有提示，為通知之持有人得向發行人請求給付該證券所記載之利息、年金、或應分配之利益。但自時效期間屆滿後，經過一年者，其請求權消滅。 如於時效期間屆滿前，由第,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 732 條,2026-08-17,終身定期金，除契約另有訂定外，應按季預行支付。 依其生存期間而定終身定期金之人，如在定期金預付後，該期屆滿前死亡者，定期金債權人取得該期金額之全部。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 753 條,2026-08-17,保證未定期間者，保證人於主債務清償期屆滿後，得定一個月以上之相當期限，催告債權人於其期限內，向主債務人為審判上之請求。 債權人不於前項期限內向主債務人為審判上之請求者，保證人免其責任。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 756-7 條,2026-08-17,人事保證關係因左列事由而消滅： 一、保證之期間屆滿。 二、保證人死亡、破產或喪失行為能力。 三、受僱人死亡、破產或喪失行為能力。 四、受僱人之僱傭關係消滅。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 840 條,2026-08-17,地上權人之工作物為建築物者，如地上權因存續期間屆滿而消滅，地上權人得於期間屆滿前，定一個月以上之期間，請求土地所有人按該建築物之時價為補償。但契約另有約定者，從其約定。 土地所有人拒絕地上權人前項補償之請求或於,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 878 條,2026-08-17,抵押權人於債權清償期屆滿後，為受清償，得訂立契約，取得抵押物之所有權，或用拍賣以外之方法，處分抵押物。但有害於其他抵押權人之利益者，不在此限。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 899-2 條,2026-08-17,質權人係經許可以受質為營業者，僅得就質物行使其權利。出質人未於取贖期間屆滿後五日內取贖其質物時，質權人取得質物之所有權，其所擔保之債權同時消滅。 前項質權，不適用第八百八十九條至第八百九十五條、第八百九十九條、第八百九十九條之一之規定,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 913 條,2026-08-17,典權之約定期限不滿十五年者，不得附有到期不贖即作絕賣之條款。 典權附有絕賣條款者，出典人於典期屆滿不以原典價回贖時，典權人即取得典物所有權。 絕賣條款非經登記，不得對抗第三人。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 923 條,2026-08-17,典權定有期限者，於期限屆滿後，出典人得以原典價回贖典物。 出典人於典期屆滿後，經過二年，不以原典價回贖者，典權人即取得典物所有權。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 1159 條,2026-08-17,在第一千一百五十七條所定之一定期限屆滿後，繼承人對於在該一定期限內報明之債權及繼承人所已知之債權，均應按其數額，比例計算，以遺產分別償還。但不得害及有優先權人之利益。 繼承人對於繼承開始時未屆清償期,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 1171 條,2026-08-17,人分擔，如經債權人同意者，各繼承人免除連帶責任。 繼承人之連帶責任，自遺產分割時起，如債權清償期在遺產分割後者，自清償期屆滿時起，經過五年而免除。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 1181 條,2026-08-17,遺產管理人非於第一千一百七十九條第一項第三款所定期間屆滿後，不得對被繼承人之任何債權人或受遺贈人，償還債務或交付遺贈物。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 1185 條,2026-08-17,第一千一百七十八條所定之期限屆滿，無繼承人承認繼承時，其遺產於清償債權並交付遺贈物後，如有賸餘，歸屬國庫。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法,第 1207 條,2026-08-17,繼承人或其他利害關係人，得定相當期限，請求受遺贈人於期限內為承認遺贈與否之表示；期限屆滿，尚無表示者，視為承認遺贈。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
民法總則施行法,第 3-1 條,2021-01-13,中華民國一百零九年十二月二十五日修正之民法第十二條及第十三條，自一百十二年一月一日施行。 於中華民國一百十二年一月一日前滿十八歲而於同日未滿二十歲者，自同日起為成年。 於中華民國一百十二年一月一日未滿二十歲者，於同日前依法令、行政處分、法院裁判或,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000002
民法總則施行法,第 19 條,2021-01-13,本施行法自民法總則施行之日施行。 民法總則修正條文及本施行法修正條文之施行日期，除另定施行日期者外，自公布日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000002
民法債編施行法,第 36 條,2021-01-20,本施行法自民法債編施行之日施行。 民法債編修正條文及本施行法修正條文，除另定施行日期者外，自公布日施行。 中華民國八十八年四月二十一日修正公布之民法債編修正條文及本施行法修正條文，自八十九年五月五日施行。但民法第一百六十六條之一施行日期，由行政,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000003
民法物權編施行法,第 5 條,2010-02-03,民法物權編施行前，無時效性質之法定期間已屆滿者，其期間為屆滿。 民法物權編施行前已進行之期間，依民法物權編所定之無時效性質之法定期間，於施行時尚未完成者，其已經過之期間與施行後之期間，合併計算。 前項規定,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000004
民法物權編施行法,第 6 條,2010-02-03,前條規定，於民法物權編修正施行後所定無時效性質之法定期間準用之。但其法定期間不滿一年者，如在修正施行時尚未屆滿，其期間自修正施行之日起算。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000004
民法物權編施行法,第 13-2 條,2010-02-03,正之條文施行前發生之永佃權，其存續期限縮短為自修正施行日起二十年。 前項永佃權仍適用修正前之規定。 第一項永佃權存續期限屆滿時，永佃權人得請求變更登記為農育權。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000004
民法親屬編施行法,第 3 條,2021-01-13,前條之規定，於民法親屬編修正前或修正後所定無時效性質之法定期間準用之。但其法定期間不滿一年者，如在施行時或修正時尚未屆滿，其期間自施行或修正之日起算。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000005
